,date,startup,vertical,subvertical,city,investor,round,amount
796,2017-05-08,Nightstay,ecommerce,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed/Angel,0.0
797,2017-05-08,Devourin,tech,Restaurant Automation Solution,Pune,Deepak Nathani,Seed/Angel,0.0
798,2017-05-08,MyGreens,food,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed/Angel,8.0
799,2017-05-08,Ace Turtle,tech,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",PrivateEquity,40.0
800,2017-05-08,CureFit,tech,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",PrivateEquity,25.6
801,2017-05-09,Curie Labs,tech,Energy Analytics startup,New Delhi,Satoshi Studios,Seed/Angel,0.4
802,2017-05-09,Uncanny Vision,tech,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed/Angel,0.0
803,2017-05-09,Anchanto,tech,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,PrivateEquity,0.0
804,2017-05-09,Sequretek,tech,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",PrivateEquity,0.0
805,2017-05-10,Lucideus,tech,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed/Angel,0.0
806,2017-05-10,Vidooly,ecommerce,Video Intelligence platform,Noida,"Times Internet, GVFL",PrivateEquity,11.2
807,2017-05-10,Shopclues,ecommerce,Online marketplace,Gurgaon,InnoVen Capital,PrivateEquity,61.6
808,2017-05-10,Fourth Ambit,ecommerce,Community Building platform,Bangalore,1Crowd,Seed/Angel,4.8
809,2017-05-10,Chymera VR,tech,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed/Angel,0.0
810,2017-05-11,Early Salary,ecommerce,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",PrivateEquity,32.0
811,2017-05-11,Book My Diamond,ecommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed/Angel,0.0
812,2017-05-11,ION Energy,tech,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed/Angel,0.0
813,2017-05-12,Legal Raasta,ecommerce,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,PrivateEquity,40.0
814,2017-05-12,Log 9 Materials,tech,NanoTech product developer,Bangalore,GEMs,Seed/Angel,0.0
815,2017-05-12,Remit Guru,ecommerce,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",PrivateEquity,3.728
816,2017-05-12,Aequm,ecommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed/Angel,8.0
817,2017-05-15,Zapty,tech,Project Management tool,Bangalore,IdeaSpring Capital,Seed/Angel,4.0
818,2017-05-15,Vernacular,tech,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed/Angel,0.0
819,2017-05-16,Niki,tech,AI-based chatbot,Bangalore,SAP,PrivateEquity,0.0
820,2017-05-16,Telr,tech,Online Payment Gateway,Mumbai,Innovations East,PrivateEquity,24.0
821,2017-05-16,Fynd,ecommerce,Fashion ECommerce Portal,Mumbai,Rocketship,PrivateEquity,4.0
822,2017-05-17,Genie,ecommerce,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed/Angel,2.0
823,2017-05-17,Paysense,ecommerce,Online Lending platform,Mumbai,Jungle Ventures,PrivateEquity,42.4
824,2017-05-18,The Good Life,ecommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed/Angel,8.0
825,2017-05-18,PumpKart,ecommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed/Angel,0.0
826,2017-05-18,Paytm,ecommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,PrivateEquity,11200.0
827,2017-05-19,EzCred,ecommerce,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed/Angel,8.0
828,2017-05-19,HealthSutra,food,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed/Angel,0.0
829,2017-05-20,YepMe,ecommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,PrivateEquity,0.0
830,2017-05-22,Delhivery,transport_mobility,ECommerce Logistics provider,New Delhi,Fosun International,PrivateEquity,240.0
831,2017-05-22,ZipGrid,ecommerce,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed/Angel,4.0
832,2017-05-23,TravelSpice,ecommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed/Angel,0.0
833,2017-05-23,Magicpin,ecommerce,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",PrivateEquity,52.8
834,2017-05-23,The Print,ecommerce,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed/Angel,0.0
835,2017-05-23,Box8,ecommerce,Food Delivery Platform,Mumbai,Trifecta Capital,PrivateEquity,8.0
836,2017-05-24,GenNext Students,ecommerce,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed/Angel,4.64
837,2017-05-25,Aye Finance,fintech,Non-Banking Financial Company,Gurgaon,Blue Orchard,PrivateEquity,64.0
838,2017-05-26,WhatsLoan,ecommerce,Online Lending mobile app,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed/Angel,0.0
839,2017-05-29,Cube Consumer Services,ecommerce,Finance management Mobile app,Mumbai,undisclosed,Seed/Angel,0.0
840,2017-05-29,Nivesh,ecommerce,Online MF investment platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed/Angel,0.0
841,2017-05-29,Wowflux,tech,image Processing solution,New Delhi,Undisclosed Investors,Seed/Angel,0.0
842,2017-05-29,Collateral Medical,ecommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,PrivateEquity,28.0
843,2017-05-30,Loadshare,transport_mobility,Express Logistics Network,Bangalore,Matrix Partners,Seed/Angel,0.0
844,2017-05-30,SimpliLend,ecommerce,Online lending platform,New Delhi,Undisclosed Investors,Seed/Angel,0.0
845,2017-05-30,Supr Daily,ecommerce,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",PrivateEquity,12.0
846,2017-05-30,Swiggy,ecommerce,Online food delivery platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",PrivateEquity,640.0
847,2017-05-31,SastaSundar,ecommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,PrivateEquity,40.0
848,2017-05-31,Magicpin,ecommerce,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",PrivateEquity,56.0
849,2017-04-01,Cashe,ecommerce,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",PrivateEquity,30.4
850,2017-04-03,Eruditus,edtech,Executive Education Provider,Mumbai,Bertelsmann India,PrivateEquity,65.6
851,2017-04-03,TestBook,ecommerce,Online Test Preparation Platform,Mumbai,Matrix Partners India,PrivateEquity,0.0
852,2017-04-03,Healthcare at Home,health,Home Healthcare Provider,Noida,Quadria Capital Advisors,PrivateEquity,320.0
853,2017-04-03,Tyre Express,tech,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed/Angel,0.0
854,2017-04-03,SmartCoin,ecommerce,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,PrivateEquity,0.0
855,2017-04-04,WayCool,food,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,PrivateEquity,21.6
856,2017-04-04,Perfios,tech,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,PrivateEquity,48.8
857,2017-04-04,Whatfix,tech,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",PrivateEquity,29.52
858,2017-04-04,ElastiRun,tech,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",PrivateEquity,56.0
859,2017-04-04,Trukky,ecommerce,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed/Angel,4.0
860,2017-04-04,Konsult App,ecommerce,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed/Angel,4.0
861,2017-04-05,Credit Sudhaar,ecommerce,Credit Score Improvement platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed/Angel,0.0
862,2017-04-05,Fingerlix,ecommerce,Food Delivery Platform,Mumbai,Zephyr Peacock India,PrivateEquity,24.0
863,2017-04-05,DataWeave,tech,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",PrivateEquity,0.0
864,2017-04-06,Medwell Ventures,health,Home-Based Healthcare provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",PrivateEquity,168.0
865,2017-04-06,Mech Mocha,ecommerce,Mobile gaming startup,Bangalore,"Accel Partners, Shunwei Capital",PrivateEquity,40.0
866,2017-04-07,Startup Buddy,ecommerce,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed/Angel,0.0
867,2017-04-07,QorQI,health,Online Healthcare provider,Noida,Paytm,Seed/Angel,0.0
868,2017-04-07,Twenty Two Motors,tech,Smart Scooter manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed/Angel,0.0
869,2017-04-07,PharmEasy,ecommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",PrivateEquity,144.0
870,2017-04-08,WonderChef,ecommerce,Online marketplace for kitchen products,Mumbai,Labruyere Eberl\\xc3\\xa9,PrivateEquity,0.0
871,2017-04-08,FastFox,ecommerce,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",PrivateEquity,36.8
872,2017-04-10,Omnify,tech,SaaS platform for SMEs,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed/Angel,1.2
873,2017-04-10,Capital Float,ecommerce,Online Lending Platform for SME,Bangalore,Mahindra and Mahindra Financial Services,PrivateEquity,18.4
874,2017-04-11,Ninjacart,ecommerce,B2B agri-marketing platform,Bangalore,"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",PrivateEquity,44.0
875,2017-04-11,MergerWare,tech,Software solutions for M&As,Bangalore,Philippe Bouchet,Seed/Angel,0.8
876,2017-04-11,Sports Flashes,ecommerce,Online Sports portal & Mobile app,New Delhi,"Sushil Kumar, Sandeep Singh",Seed/Angel,0.0
